unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,137,dend[125]_0,dend[123]_4,dend,15.024900436401367,-254.18299865722656,39.778900146484375,0.26499998569488525,39.575156349517165,12.100000000000001,399.2790565681155
2,13,dend[98]_0,dend[97]_0,dend,19.04490089416504,-5.762919902801514,-3.3211400508880615,0.23499999940395355,1.6146071408247755,4.2,41.102715635182335
3,112,dend[77]_0,dend[75]_2,dend,67.77490234375,298.0369873046875,2.82886004447937,0.5299999713897705,22.087733891321225,11.8,389.72835210097776
4,58,dend[93]_0,dend[91]_0,dend,192.65499877929688,280.927001953125,35.82889938354492,0.20499999821186066,18.802210444314948,11.8,418.17618546683457
5,175,dend[106]_0,dend[102]_8,dend,130.0749969482422,-167.91299438476562,-22.921100616455078,0.26499998569488525,13.384983913781353,10.0,288.74550064511914
6,59,dend[94]_0,dend[68]_0,dend,8.904879570007324,38.66709899902344,12.228899955749512,0.6200000047683716,1.3282036913196598,2.7,35.93402780928553
7,34,dend[115]_0,dend[109]_0,dend,183.01499938964844,-204.59300231933594,-36.32109832763672,0.23499999940395355,24.82544704782599,12.0,367.23911945940165
8,294,dend[67]_0,dend[45]_2,dend,26.074899673461914,102.13700103759766,-17.421100616455078,0.6449999809265137,1.92242773437568,5.300000000000001,114.92220667774328
9,90,dend[114]_0,dend[112]_2,dend,214.72500610351562,-240.2729949951172,-32.32109832763672,0.5,35.993148300097616,13.700000000000001,437.9192304293299
10,39,dend[112]_0,dend[110]_0,dend,176.46499633789062,-213.7729949951172,-27.1210994720459,0.26499998569488525,27.490172772078783,12.4,380.2707465098414
11,185,dend[122]_0,dend[121]_10,dend,-3.205120086669922,-196.2830047607422,16.278900146484375,0.20499999821186066,27.342439333313106,10.9,297.25117555753883
12,14,dend[108]_0,dend[107]_0,dend,153.56500244140625,-189.55299377441406,-31.82110023498535,0.17499999701976776,27.631384898891795,12.700000000000001,368.39810152421387
13,237,dend[97]_0,dend[39]_0,dend,7.464879989624023,13.707099914550781,-2.92113995552063,1.0299999713897705,1.0626646949756031,0.6000000000000001,15.328962185740082
