unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,102,dend[71]_0,dend[69]_2,dend,-16.40679931640625,352.00299072265625,15.969200134277344,0.17499999701976776,43.305714970810236,14.700000000000001,407.2022936583792
2,14,dend[73]_0,dend[67]_0,dend,-22.41939926147461,246.51498413085938,-8.94873046875,0.23499999940395355,21.45941491121376,11.100000000000001,302.1755664819542
3,15,dend[64]_0,dend[62]_0,dend,-61.202701568603516,262.32598876953125,-36.56209945678711,0.26499998569488525,27.332284791785447,11.9,308.31132660856986
4,102,dend[70]_0,dend[69]_2,dend,-22.770999908447266,341.2929992675781,15.289999961853027,0.23499999940395355,35.68036865837388,13.600000000000001,400.9170297160656
5,100,dend[66]_0,dend[65]_2,dend,-35.382198333740234,255.11398315429688,-12.506999969482422,0.35499998927116394,17.255928890763133,9.5,289.03473605508475
6,218,dend[65]_0,dend[53]_10,dend,-35.42839813232422,204.9849853515625,-13.921699523925781,0.38499999046325684,10.067030369295237,6.6000000000000005,233.74755456895775
7,107,dend[72]_0,dend[68]_2,dend,-5.238519668579102,301.8399963378906,8.06980037689209,0.23499999940395355,25.90984120132951,11.600000000000001,355.4399071431802
8,107,dend[69]_0,dend[68]_2,dend,-12.320300102233887,303.0719909667969,11.94950008392334,0.29499998688697815,24.75815132455381,11.3,353.3589652398491
9,15,dend[63]_0,dend[62]_0,dend,-54.77989959716797,263.0469970703125,-38.330299377441406,0.26499998569488525,26.50797418110665,11.8,305.1229199715271
10,13,dend[61]_0,dend[59]_0,dend,-45.91429901123047,264.2239990234375,-29.440099716186523,0.32499998807907104,21.241345246178305,10.3,304.16664167203544
11,14,dend[68]_0,dend[67]_0,dend,-25.32859992980957,260.4949951171875,-6.022749900817871,0.35499998927116394,17.325495966443732,9.3,299.6062492126306
12,13,dend[60]_0,dend[59]_0,dend,-38.93870162963867,263.89898681640625,-27.519800186157227,0.29499998688697815,24.541711221667153,11.100000000000001,303.8993153679459
13,17,dend[59]_0,dend[57]_0,dend,-39.04970169067383,251.6339874267578,-27.197799682617188,0.38499999046325684,18.199584815353678,9.4,285.89859392010663
14,100,dend[67]_0,dend[65]_2,dend,-36.134498596191406,252.25198364257812,-11.269100189208984,0.32499998807907104,15.50984959928859,8.700000000000001,284.3300750431132
15,24,dend[62]_0,dend[54]_0,dend,-43.13999938964844,245.72499084472656,-30.82979965209961,0.26499998569488525,20.937383486084855,10.600000000000001,281.37250858753583
16,17,dend[58]_0,dend[57]_0,dend,-48.68199920654297,252.13497924804688,-18.1033992767334,0.23499999940395355,19.813222157351394,10.100000000000001,288.9855045568332
17,18,dend[57]_0,dend[55]_0,dend,-41.707298278808594,243.44798278808594,-22.538000106811523,0.5,16.532887120001234,8.9,274.07368722765534
18,24,dend[55]_0,dend[54]_0,dend,-39.03260040283203,237.57998657226562,-23.142499923706055,0.4099999964237213,15.900034980415812,8.700000000000001,266.70394458989466
19,43,dend[47]_0,dend[29]_0,dend,15.481200218200684,35.455989837646484,-17.53580093383789,0.32499998807907104,2.590081327295224,4.1000000000000005,62.926398848271454
20,30,dend[50]_0,dend[49]_0,dend,-54.254798889160156,286.6470031738281,-84.29979705810547,0.20499999821186066,22.617193903563557,9.4,368.60102049025346
21,38,dend[48]_0,dend[28]_0,dend,-1.3294496536254883,38.05878829956055,-15.020999908447266,0.35499998927116394,1.8179235691989721,2.9000000000000004,51.88045034756952
22,243,dend[53]_0,soma[0]_0,dend,-3.481529474258423,26.07048797607422,1.066210150718689,0.6449999809265137,1.0390814310166294,0.2,25.048403609053224
23,30,dend[51]_0,dend[49]_0,dend,-62.48529815673828,294.68798828125,-80.7665023803711,0.17499999701976776,22.852669494497636,9.4,371.1849559450821
24,218,dend[54]_0,dend[53]_10,dend,-36.892601013183594,215.3599853515625,-18.135299682617188,0.38499999046325684,11.974737183790333,7.5,243.45627124004204
25,18,dend[56]_0,dend[55]_0,dend,-31.699600219726562,241.7579803466797,-25.740800857543945,0.23499999940395355,19.535230000535307,10.100000000000001,280.1082351439432
26,194,dend[40]_0,dend[39]_6,dend,7.704370498657227,253.54698181152344,-62.89720153808594,0.14499999582767487,21.68739066661934,9.9,315.19668318270396
27,47,dend[42]_0,dend[30]_0,dend,16.191999435424805,44.913089752197266,-17.929100036621094,0.38499999046325684,1.979907861918396,3.3000000000000003,67.72695645414528
