unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,91,dend[96]_0,dend[95]_2,dend,-23.14059829711914,-43.515201568603516,-82.93299865722656,0.23499999940395355,33.911211430653495,11.8,204.03785184710523
2,10,dend[90]_0,dend[89]_0,dend,-72.93699645996094,-6.3639397621154785,-62.379798889160156,0.38499999046325684,8.154998563937696,9.0,133.00233744241672
3,8,dend[94]_0,dend[92]_0,dend,-69.06780242919922,23.656299591064453,-77.16169738769531,0.4399999976158142,24.446514291168754,11.5,173.43672882125307
4,10,dend[95]_0,dend[89]_0,dend,-67.7572021484375,-11.69260025024414,-54.91510009765625,0.38499999046325684,13.096501410668925,10.0,138.5367052055861
5,27,dend[98]_0,dend[97]_0,dend,2.7814009189605713,-47.72119903564453,-68.36630249023438,0.17499999701976776,42.788364474740675,12.700000000000001,230.130693551589
6,208,dend[43]_0,soma[0]_0,dend,9.25576114654541,-5.7460198402404785,-0.1668606400489807,1.0299999713897705,1.0379812772093688,0.30000000000000004,20.96652651613762
7,127,dend[69]_0,dend[65]_4,dend,34.80189895629883,-156.27699279785156,42.12699890136719,0.23499999940395355,12.550651328354828,10.5,215.04226448363465
8,2,dend[92]_0,dend[90]_0,dend,-68.97229766845703,3.540299892425537,-69.90299987792969,0.29499998688697815,15.315045687989471,10.600000000000001,151.472697276688
9,208,dend[87]_0,soma[0]_0,dend,-12.900999069213867,-0.6586961150169373,-7.076870441436768,0.9399999976158142,1.1137968031525036,1.1,20.846619377358806
10,126,dend[89]_0,dend[87]_4,dend,-75.82939910888672,-5.389339923858643,-51.48379898071289,0.26499998569488525,6.854730431453121,8.6,121.19472429649868
11,176,dend[40]_0,dend[39]_10,dend,-195.59300231933594,76.09410095214844,133.4980010986328,0.11999999731779099,52.17842098966882,15.5,382.841644426339
12,6,dend[63]_0,dend[43]_0,dend,7.955310821533203,-13.2701997756958,-1.1645705699920654,0.7350000143051147,1.2574663144389606,2.2,39.17840388469993
13,127,dend[66]_0,dend[65]_4,dend,35.594398498535156,-157.38900756835938,40.0900993347168,0.29499998688697815,12.332855653442312,10.5,217.23920023621986
14,96,dend[65]_0,dend[64]_2,dend,24.1947021484375,-94.66449737548828,10.242898941040039,0.5,5.211405350524587,8.5,137.2027871957371
15,38,dend[80]_0,dend[74]_0,dend,28.215702056884766,-115.33699798583984,14.363999366760254,0.20499999821186066,9.341754634974196,10.100000000000001,160.77495163048317
16,176,dend[41]_0,dend[39]_10,dend,-198.1060028076172,66.27749633789062,135.6999969482422,0.6200000047683716,49.78444271240116,15.3,379.25628399319976
17,20,dend[101]_0,dend[99]_0,dend,37.44279861450195,-30.622600555419922,-90.51380157470703,0.29499998688697815,60.316074141648656,14.0,266.74373637823965
18,46,dend[84]_0,dend[82]_0,dend,5.488221168518066,12.5649995803833,-13.993400573730469,0.5899999737739563,1.5297064144004742,3.8000000000000003,45.4285397060151
19,13,dend[68]_0,dend[66]_0,dend,41.90060043334961,-158.63499450683594,37.4203987121582,0.26499998569488525,14.443862630277088,11.0,226.2645495537992
20,27,dend[99]_0,dend[97]_0,dend,5.457190990447998,-37.89080047607422,-83.84220123291016,0.20499999821186066,39.06821315407551,12.100000000000001,230.7606594693797
21,18,dend[86]_0,dend[84]_0,dend,-3.376599073410034,24.44969940185547,-26.545000076293945,0.5299999713897705,2.178711931676483,5.9,64.99346216237922
22,100,dend[76]_0,dend[75]_2,dend,38.91460037231445,-156.06199645996094,23.475200653076172,0.20499999821186066,17.6891213715747,11.4,209.05473467984996
23,20,dend[100]_0,dend[99]_0,dend,27.104602813720703,-38.60340118408203,-99.87079620361328,0.32499998807907104,48.903498761378366,13.0,260.96373002196026
24,7,dend[70]_0,dend[69]_0,dend,38.04439926147461,-159.16700744628906,46.06909942626953,0.5600000023841858,13.565954342537623,10.700000000000001,220.93844920880656
25,92,dend[81]_0,dend[63]_2,dend,29.0205020904541,-49.06909942626953,-17.402599334716797,0.5,2.398460902778365,6.2,87.37785231410949
26,92,dend[64]_0,dend[63]_2,dend,28.37860107421875,-49.96849822998047,-10.940401077270508,0.38499999046325684,2.683674695876941,6.6000000000000005,86.06194738635635
27,91,dend[97]_0,dend[95]_2,dend,-16.7471981048584,-35.85150146484375,-71.68360137939453,0.20499999821186066,32.48195387278052,11.4,203.0509547423493
28,2,dend[91]_0,dend[90]_0,dend,-73.69450378417969,-4.501530170440674,-76.64749908447266,0.38499999046325684,9.777512253079674,9.600000000000001,146.9353033816955
29,49,dend[79]_0,dend[77]_0,dend,32.23889923095703,-177.25999450683594,14.448498725891113,0.26499998569488525,19.02137051377968,11.5,236.12203633360116
30,46,dend[83]_0,dend[82]_0,dend,17.55710220336914,8.080599784851074,-14.08220100402832,0.5600000023841858,1.6538610424023596,4.3,46.08242612532226
